HGNC approved symbol;HGNC approved name;UniProt ID (human);Pfam domains;UniProt AC (mouse);UniProt ID (mouse);Function;Modification;Protein complex;Target molecule;Target entity;Product
CUL5;cullin 5;CUL5_HUMAN;Cullin PF00888 19-673, Cullin_Nedd8 PF10557 707-774;Q9D5V5;CUL5_MOUSE;DNA modification cofactor;DNA methylation;#;DNA;#;#
CDYL2;chromodomain protein, Y-like 2;CDYL2_HUMAN;Chromo PF00385 7-57, ECH PF00378 253-501;Q9D5D8;CDYL2_MOUSE;Histone modification read;#;#;histone;H3K9me3;#
PHF14;PHD finger protein 14;PHF14_HUMAN;PHD PF00628 321-380 727-779, Pfam-B_16803 PB016803 175-216, Pfam-B_19012 PB019012 218-295, zf-HC5HC2H_2 PF13832 383-498;Q9D4H9;PHF14_MOUSE;Histone modification read;#;#;histone;H2A, H2B, H3;H2Aac, H2Bac, H3ac
CUL2;cullin 2;CUL2_HUMAN;Cullin PF00888 14-645, Cullin_Nedd8 PF10557 672-739;Q9D4H8;CUL2_MOUSE;Chromatin remodeling cofactor;#;#;chromatin;HP1 (Heterochromatin protein 1);#
RMI1;RecQ mediated genome instability 1;RMI1_HUMAN;DUF1767 PF08585 12-104, Pfam-B_227 PB000227 590-623;Q9D4G9;RMI1_MOUSE;DNA modification;#;#;DNA;#;#
ZNF687;zinc finger protein 687;ZN687_HUMAN;zf-C2H2 PF00096 1200-1222, zf-C2H2_4 PF13894 858-881 963-986 993-1016;Q9D2D7;ZN687_MOUSE;Histone modification erase cofactor;Histone acetylation;#;histone;#;#
KAT8;K(lysine) acetyltransferase 8;KAT8_HUMAN;MOZ_SAS PF01853 232-418, Tudor-knot PF11717 55-111;Q9D1P2;KAT8_MOUSE;Histone modification write;Histone acetylation;NSL, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7;histone;H2A, H3, H4;H2Aac, H3ac, H4ac
SS18L2;synovial sarcoma translocation gene on chromosome 18-like 2;S18L2_HUMAN;SSXT PF05030 11-76;Q9D174;S18L2_MOUSE;Chromatin remodeling;#;#;chromatin;#;#
CHAF1B;chromatin assembly factor 1, subunit B (p60);CAF1B_HUMAN;CAF-1_p60_C PF15512 381-558, WD40 PF00400 10-45 57-94 119-157 161-199 339-372;Q9D0N7;CAF1B_MOUSE;Chromatin remodeling;#;WINAC, CAF-1;histone;H3, H4;#
EXOSC7;exosome component 7;EXOS7_HUMAN;RNase_PH PF01138 31-166, RNase_PH_C PF03725 196-262;Q9D0M0;EXOS7_MOUSE;Scaffold protein, RNA modification;RNA degradation;RNA exosome;RNA;#;#
ELP3;elongator acetyltransferase complex subunit 3;ELP3_HUMAN;Acetyltransf_1 PF00583 441-536, Pfam-B_13823 PB013823 1-49, Radical_SAM PF04055 96-305;Q9CZX0;ELP3_MOUSE;Histone modification write;Histone acetylation;Pol2 elongator;histone;H3, H4?;#
SUPT7L;suppressor of Ty 7 (S. cerevisiae)-like;ST65G_HUMAN;Bromo_TP PF07524 151-230, Pfam-B_18361 PB018361 301-379, Pfam-B_18885 PB018885 1-69;Q9CZV5;ST65G_MOUSE;Histone chaperone;#;TFTC-HAT, STAGA;histone;#;#
CHTOP;chromatin target of PRMT1;CHTOP_HUMAN;FoP_duplication PF13865 171-245;Q9CY57;CHTOP_MOUSE;#;#;#;DNA;#;#
KDM8;lysine (K)-specific demethylase 8;KDM8_HUMAN;Cupin_8 PF13621 192-416;Q9CXT6;KDM8_MOUSE;Histone modification erase;Histone methylation;#;histone;H3K36me2;H3K36
PHF19;PHD finger protein 19;PHF19_HUMAN;Mtf2_C PF14061 529-579, PHD PF00628 98-151, Pfam-B_31053 PB031053 1-59;Q9CXG9;PHF19_MOUSE;Chromatin remodeling, Histone modification write cofactor;Histone acetylation;PRC2;histone;#;#
CHD1L;chromodomain helicase DNA binding protein 1-like;CHD1L_HUMAN;Helicase_C PF00271 381-459, Pfam-B_2492 PB002492 468-549, SNF2_N PF00176 49-328;Q9CXF7;CHD1L_MOUSE;Chromatin remodeling;#;#;DNA;#;#
PRDM5;PR domain containing 5;PRDM5_HUMAN;zf-C2H2 PF00096 199-221 262-287 603-625, zf-C2H2_4 PF13894 167-190, zf-C2H2_jaz PF12171 375-399, zf-H2C2_2 PF13465 334-359 418-443 446-472 475-500 503-528 531-556 559-583, zf-met PF12874 234-254 295-317;Q9CXE0;PRDM5_MOUSE;Histone modification write;Histone methylation;#;histone;H3K9;H3K9me
SETD6;SET domain containing 6;SETD6_HUMAN;Pfam-B_25912 PB025912 1-69, Rubis-subs-bind PF09273 329-465, SET PF00856 74-286;Q9CWY3;SETD6_MOUSE;Chromatin remodeling, Histone modification write;Histone methylation;#;histone;#;#
CXXC1;CXXC finger protein 1;CXXC1_HUMAN;PHD PF00628 28-76, zf-CXXC PF02008 160-208, zf-CpG_bind_C PF12269 400-636;Q9CWW7;CXXC1_MOUSE;Chromatin remodeling, TF;#;COMPASS;DNA;CG, DNA motif;#
DNMT3L;DNA (cytosine-5-)-methyltransferase 3-like;DNM3L_HUMAN;Pfam-B_139748 PB139748 181-229, Pfam-B_41249 PB041249 91-179;Q9CWR8;DNM3L_MOUSE;Histone modification read;#;#;histone;H3K4;#
SMYD3;SET and MYND domain containing 3;SMYD3_HUMAN;Pfam-B_27974 PB027974 391-422, SET PF00856 15-240, zf-MYND PF01753 47-87;Q9CWR2;SMYD3_MOUSE;Histone modification write;Histone methylation;#;histone;H3K4, H3K5;H3K4me2, H3K4me3, H3K5me2, H3K5me3
ZMYM2;zinc finger, MYM-type 2;ZMYM2_HUMAN;DUF3504 PF12012 1190-1361, Pfam-B_10252 PB010252 941-1179, Pfam-B_2297 PB002297 1-159, zf-FCS PF06467 323-363 365-409 417-456 459-502 528-570 576-616 631-671 719-758 760-799;Q9CU65;ZMYM2_MOUSE;Histone modification erase cofactor, TF;Histone acetylation;BHC, LSD-CoREST;DNA;DNA motif;#
EXOSC5;exosome component 5;EXOS5_HUMAN;RNase_PH PF01138 27-147, RNase_PH_C PF03725 150-216;Q9CRA8;EXOS5_MOUSE;Scaffold protein, RNA modification;RNA degradation;RNA exosome;RNA;#;#
YEATS4;YEATS domain containing 4;YETS4_HUMAN;YEATS PF03366 44-126;Q9CR11;YETS4_MOUSE;Histone modification write cofactor;Histone acetylation;NuA4, NuA4-related complex, SRCAP;histone;#;#
YWHAB;tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta;1433B_HUMAN;14-3-3 PF00244 5-238;Q9CQV8;1433B_MOUSE;Histone modification erase cofactor;Histone acetylation;#;histone;#;#
RNF2;ring finger protein 2;RING2_HUMAN;zf-C3HC4 PF00097 51-90;Q9CQJ4;RING2_MOUSE;Histone modification write;Histone ubiquitination;PRC1, BCOR, RING2-L3MBTL2, RING2-FBRS, CHD8, MLL2/3, MLL4/WBP7;histone;H2AK119;H2AK119ub
ASF1A;anti-silencing function 1A histone chaperone;ASF1A_HUMAN;ASF1_hist_chap PF04729 1-154;Q9CQE6;ASF1A_MOUSE;Histone chaperone;#;#;histone;H3, H4;#
UBE2T;ubiquitin-conjugating enzyme E2T (putative);UBE2T_HUMAN;UQ_con PF00179 6-147;Q9CQ37;UBE2T_MOUSE;Histone modification write;Histone ubiquitination;#;histone;#;#
BAP1;BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase);BAP1_HUMAN;Peptidase_C12 PF01088 4-217, Pfam-B_14567 PB014567 441-579, Pfam-B_16218 PB016218 271-439, Pfam-B_4660 PB004660 581-693;Q99PU7;BAP1_MOUSE;Histone modification erase, Polycomb group (PcG) protein;Histone deubiquitination;PR-DUB;histone;H2AK119ub1;H2AK119
INO80B;INO80 complex subunit B;IN80B_HUMAN;PAPA-1 PF04795 211-293, zf-HIT PF04438 305-336;Q99PT3;IN80B_MOUSE;Chromatin remodeling cofactor;#;Ino80;chromatin;#;#
TRIM16;tripartite motif containing 16;TRI16_HUMAN;PRY PF13765 375-424, Pfam-B_10855 PB010855 281-339, SPRY PF00622 426-551, zf-B_box PF00643 126-165;Q99PP9;TRI16_MOUSE;Histone modification write;Histone acetylation;#;histone, DNA;#;#
TRIM33;tripartite motif containing 33;TRI33_HUMAN;Bromodomain PF00439 966-1051, PHD PF00628 889-933, Pfam-B_10963 PB010963 664-696, Pfam-B_11449 PB011449 608-663, Pfam-B_11628 PB011628 535-606, zf-B_box PF00643 212-258 271-312, zf-RING_2 PF13639 123-185;Q99PP7;TRI33_MOUSE;Histone modification read;#;#;histone;H3K9me3, H3K18ac;#
RAD54L2;RAD54-like 2 (S. cerevisiae);ARIP4_HUMAN;Helicase_C PF00271 774-854, Pfam-B_2830 PB002830 105-259, SNF2_N PF00176 274-625;Q99NG0;ARIP4_MOUSE;Chromatin remodeling;#;#;chromatin;#;#
SF3B1;splicing factor 3b, subunit 1, 155kDa;SF3B1_HUMAN;Pfam-B_1720 PB001720 1099-1147, SF3b1 PF08920 282-457;Q99NB9;SF3B1_MOUSE;RNA modification;#;B-WICH;RNA;#;#
PCGF6;polycomb group ring finger 6;PCGF6_HUMAN;zf-C3HC4 PF00097 134-172;Q99NA9;PCGF6_MOUSE;Polycomb group (PcG) protein;#;PRC1, RING2-L3MBTL2;#;#;#
BRMS1;breast cancer metastasis suppressor 1;BRMS1_HUMAN;Sds3 PF08598 58-229;Q99N20;BRMS1_MOUSE;Chromatin remodeling;#;mSin3A;chromatin;#;#
HDAC9;histone deacetylase 9;HDAC9_HUMAN;HDAC4_Gln PF12203 36-124, Hist_deacetyl PF00850 643-973, Pfam-B_5353 PB005353 577-624;Q99N13;HDAC9_MOUSE;Histone modification erase;Histone acetylation;#;histone;H3Kac, H4Kac;H3K, H4K
ASH1L;ash1 (absent, small, or homeotic)-like (Drosophila);ASH1L_HUMAN;BAH PF01426 2661-2798, Bromodomain PF00439 2453-2538, PHD PF00628 2587-2631, Pfam-B_14208 PB014208 1818-1847, Pfam-B_18246 PB018246 2310-2419, Pfam-B_25586 PB025586 1473-1507, Pfam-B_4663 PB004663 1023-1054 1180-1377, Pfam-B_6310 PB006310 1509-1554, SET PF00856 2156-2261;Q99MY8;ASH1L_MOUSE;Histone modification write;Histone methylation;#;histone;H3K36;H3K36me
ACTL6B;actin-like 6B;ACL6B_HUMAN;Actin PF00022 8-426;Q99MR0;ACL6B_MOUSE;Chromatin remodeling cofactor;#;BAF, nBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, SWI/SNF BRM-BRG1;chromatin;#;#
DDX50;DEAD (Asp-Glu-Ala-Asp) box polypeptide 50;DDX50_HUMAN;DEAD PF00270 161-336, GUCT PF08152 571-666, Helicase_C PF00271 409-483;Q99MJ9;DDX50_MOUSE;RNA modification;#;#;RNA;#;#
NASP;nuclear autoantigenic sperm protein (histone-binding);NASP_HUMAN;SHNi-TPR PF10516 542-579, TPR_1 PF00515 584-617;Q99MD9;NASP_MOUSE;Chromatin remodeling;#;#;histone;H1;#
YAF2;YY1 associated factor 2;YAF2_HUMAN;zf-RanBP PF00641 20-46;Q99LW6;YAF2_MOUSE;Chromatin remodeling cofactor;#;BCOR, RING2-L3MBTL2, RING2-FBRS;chromatin;#;#
DPY30;dpy-30 homolog (C. elegans);DPY30_HUMAN;Dpy-30 PF05186 52-93, Pfam-B_28037 PB028037 1-51;Q99LT0;DPY30_MOUSE;Histone modification write cofactor;Histone methylation;COMPASS, Menin-associated_HMT, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7, COMPASS-like MLL3,4;histone;#;#
MBIP;MAP3K12 binding inhibitory protein 1;MBIP1_HUMAN;Pfam-B_15854 PB015854 191-249, Pfam-B_276 PB000276 251-342;Q99LQ1;MBIP1_MOUSE;Histone modification write cofactor;Histone acetylation;ATAC;histone;#;#
TADA1;transcriptional adaptor 1;TADA1_HUMAN;SAGA-Tad1 PF12767 3-195;Q99LM9;TADA1_MOUSE;Histone chaperone;#;STAGA;histone;H2A;#
USP16;ubiquitin specific peptidase 16;UBP16_HUMAN;UCH PF00443 195-819, zf-UBP PF02148 48-128;Q99LG0;UBP16_MOUSE;Histone modification erase;Histone ubiquitination;#;histone;H2Aub;H2A
MCRS1;microspherule protein 1;MCRS1_HUMAN;FHA PF00498 363-436, MCRS_N PF13325 134-331;Q99L90;MCRS1_MOUSE;Histone modification write;Histone acetylation;Ino80, NSL, CHD8, MLL2/3, MLL4/WBP7;histone;H4K5, H4K8, H4K16;H4K5ac, H4K8ac, H4K16ac
ELP5;elongator acetyltransferase complex subunit 5;ELP5_HUMAN;Elong_Iki1 PF10483 17-298;Q99L85;ELP5_MOUSE;Histone modification write cofactor;Histone acetylation;Pol2 elongator;histone;H3K14, H4K8;#
PAGR1;PAXIP1 associated glutamate-rich protein 1;PAGR1_HUMAN;PAXIP1_C PF15364 86-221;Q99L02;PAGR1_MOUSE;Histone modification write cofactor, Histone modification write cofactor;Histone methylation, Histone acetylation;CHD8, MLL2/3, MLL4/WBP7, COMPASS-like MLL3,4;histone;#;#
USP11;ubiquitin specific peptidase 11;UBP11_HUMAN;DUSP PF06337 99-185, Pfam-B_176820 PB176820 1-47, UCH PF00443 308-927, Ubiquitin_3 PF14836 198-285;Q99K46;UBP11_MOUSE;Histone modification erase cofactor;Histone ubiquitination;#;histone;#;#
SMARCD2;SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2;SMRD2_HUMAN;Pfam-B_13705 PB013705 420-516, Pfam-B_7929 PB007929 141-287, SWIB PF02201 307-382;Q99JR8;SMRD2_MOUSE;Chromatin remodeling cofactor;#;BAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brm, SWI/SNF-like EPAFB, bBAF, SWI/SNF BRM-BRG1;chromatin;#;#
PSIP1;PC4 and SFRS1 interacting protein 1;PSIP1_HUMAN;LEDGF PF11467 349-455, PWWP PF00855 5-87;Q99JF8;PSIP1_MOUSE;Chromatin remodeling;#;#;chromatin;#;#
FOXP3;forkhead box P3;FOXP3_HUMAN;Fork_head PF00250 337-426;Q99JB6;FOXP3_MOUSE;TF;#;#;histone, DNA;DNA motif;#
CDK9;cyclin-dependent kinase 9;CDK9_HUMAN;Pkinase PF00069 19-315;Q99J95;CDK9_MOUSE;Histone modification cofactor;#;#;histone;#;#
DDB2;damage-specific DNA binding protein 2, 48kDa;DDB2_HUMAN;WD40 PF00400 112-140 232-271 284-316;Q99J79;DDB2_MOUSE;Histone modification write cofactor;Histone ubiquitination;#;histone;#;#
APOBEC3B;apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B;ABC3B_HUMAN;APOBEC_C PF05240 316-370, APOBEC_N PF08210 11-190;Q99J72;ABEC3_MOUSE;DNA modification, RNA modification;DNA demethylation, mRNA editing;#;DNA, RNA;ssDNA, mRNA, mC;dhU
WDR77;WD repeat domain 77;MEP50_HUMAN;Pfam-B_26289 PB026289 1-49, WD40 PF00400 117-153 157-196 245-284;Q99J09;MEP50_MOUSE;Histone modification write;Histone methylation;methylosome;histone;H2A, H4;H2Ame, H4me
PRDM9;PR domain containing 9;PRDM9_HUMAN;KRAB PF01352 27-65, SSXRD PF09514 170-202, zf-C2H2 PF00096 860-882, zf-H2C2_2 PF13465 540-562 566-590 594-619 622-647 650-674 678-702 706-731 734-758 762-786 790-815 818-843 846-871;Q96EQ9;PRDM9_MOUSE;Histone modification write;Histone methylation;#;histone;H3K4;H3K4me3
TSSK6;testis-specific serine kinase 6;TSSK6_HUMAN;Pkinase PF00069 12-267;Q925K9;TSSK6_MOUSE;Histone modification write;Histone phosphorylation;#;histone;H1, H2A, H2AX, H3;#
MTA3;metastasis associated 1 family, member 3;MTA3_HUMAN;BAH PF01426 4-147, ELM2 PF01448 150-204, GATA PF00320 379-416, Pfam-B_11869 PB011869 421-489, Pfam-B_22870 PB022870 491-520;Q924K8;MTA3_MOUSE;Chromatin remodeling cofactor;#;NuRD;chromatin;#;#
WAC;WW domain containing adaptor with coiled-coil;WAC_HUMAN;WW PF00397 131-160;Q924H7;WAC_MOUSE;Histone modification write cofactor;Histone ubiquitination;#;histone;#;#
SIRT1;sirtuin 1;SIR1_HUMAN;Pfam-B_28511 PB028511 1-109, Pfam-B_5913 PB005913 111-189, Pfam-B_8042 PB008042 611-745, SIR2 PF02146 261-447;Q923E4;SIR1_MOUSE;Histone modification erase, Histone modification write cofactor;Histone acetylation, Histone methylation;eNoSc;histone;H1K26ac, H3K9ac, H4K16ac;H1K26, H3K9, H4K16
PRMT7;protein arginine methyltransferase 7;ANM7_HUMAN;Pfam-B_13426 PB013426 301-359, PrmA PF06325 54-149;Q922X9;ANM7_MOUSE;Histone modification write;Histone methylation;#;histone;H2A, H4R3;H2A, H4R3me2
SMEK2;SMEK homolog 2, suppressor of mek1 (Dictyostelium);P4R3B_HUMAN;Pfam-B_2986 PB002986 536-638, SMK-1 PF04802 166-359;Q922R5;P4R3B_MOUSE;Histone modification erase cofactor;Histone phosphorylation;#;histone;H2AFX;#
GLYR1;glyoxylate reductase 1 homolog (Arabidopsis);GLYR1_HUMAN;NAD_binding_11 PF14833 430-551, NAD_binding_2 PF03446 267-429, PWWP PF00855 6-89;Q922P9;GLYR1_MOUSE;Histone modification read;#;#;histone;H3K4me3;#
SF3B3;splicing factor 3b, subunit 3, 130kDa;SF3B3_HUMAN;CPSF_A PF03178 863-1184, MMS1_N PF10433 76-597;Q921M3;SF3B3_MOUSE;RNA modification;#;#;RNA;#;#
EXOSC4;exosome component 4;EXOS4_HUMAN;Pfam-B_25613 PB025613 221-243, RNase_PH PF01138 21-152, RNase_PH_C PF03725 155-220;Q921I9;EXOS4_MOUSE;Scaffold protein, RNA modification;RNA degradation;RNA exosome;RNA;#;#
EED;embryonic ectoderm development;EED_HUMAN;Pfam-B_26038 PB026038 1-39, Pfam-B_6684 PB006684 265-359, WD40 PF00400 180-219 231-264;Q921E6;EED_MOUSE;Polycomb group (PcG) protein;#;PRC2;#;#;#
BRWD1;bromodomain and WD repeat domain containing 1;BRWD1_HUMAN;Bromodomain PF00439 1166-1252 1322-1405, Pfam-B_18973 PB018973 859-924, Pfam-B_22078 PB022078 2089-2186, Pfam-B_27858 PB027858 1900-2087, Pfam-B_71 PB000071 2238-2318, Pfam-B_8184 PB008184 1821-1898, WD40 PF00400 177-214 218-256 260-302 358-396 458-497;Q921C3;BRWD1_MOUSE;Histone modification read;#;#;histone;H3;#
GATAD1;GATA zinc finger domain containing 1;GATD1_HUMAN;GATA PF00320 9-36, Pfam-B_13145 PB013145 175-216, Pfam-B_17231 PB017231 235-263;Q920S3;GATD1_MOUSE;Histone modification read;#;#;histone;H3K4me3;#
HLCS;holocarboxylase synthetase (biotin-(proprionyl-CoA-carboxylase (ATP-hydrolysing)) ligase);BPL1_HUMAN;BPL_C PF02237 669-718, BPL_LplA_LipB PF03099 471-603, Pfam-B_33359 PB033359 244-405, Pfam-B_35799 PB035799 407-469;Q920N2;BPL1_MOUSE;Histone modification write;#;#;histone;H1, H2A, H2B, H4;#
SUPT16H;suppressor of Ty 16 homolog (S. cerevisiae);SP16H_HUMAN;FACT-Spt16_Nlob PF14826 5-168, Peptidase_M24 PF00557 181-411, Pfam-B_18241 PB018241 958-1024, Rtt106 PF08512 806-896, SPT16 PF08644 529-689;Q920B9;SP16H_MOUSE;Histone modification read;#;WINAC, FACT;histone;H2A, H2B;#
SMARCA5;SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5;SMCA5_HUMAN;DBINO PF13892 58-116, HAND PF09110 743-841, Helicase_C PF00271 517-597, Pfam-B_36230 PB036230 1-39, SLIDE PF09111 897-1013, SNF2_N PF00176 183-463;Q91ZW3;SMCA5_MOUSE;Chromatin remodeling;#;ACF, B-WICH, RSF, CHRAC, NoRC;chromatin;#;#
BAZ2A;bromodomain adjacent to zinc finger domain, 2A;BAZ2A_HUMAN;Bromodomain PF00439 1802-1885, DDT PF02791 848-910, MBD PF01429 546-620, PHD PF00628 1678-1726, Pfam-B_14139 PB014139 1518-1541, Pfam-B_1702 PB001702 2-228, Pfam-B_25722 PB025722 1211-1279, Pfam-B_3124 PB003124 701-789 1085-1136, Pfam-B_32186 PB032186 1484-1516, Pfam-B_6766 PB006766 331-489, WHIM1 PF15612 950-999, WHIM3 PF15614 1439-1480;Q91YE5;BAZ2A_MOUSE;Chromatin remodeling, Histone modification erase;Histone deacetylation;NoRC;histone, DNA;H4K16ac, DNA motif;H4K5, H4K8, H4K12
BRDT;bromodomain, testis-specific;BRDT_HUMAN;Bromodomain PF00439 36-121 276-364, Pfam-B_11430 PB011430 710-791;Q91Y44;BRDT_MOUSE;Histone modification read;#;#;histone;H4K5ac, H4K8ac;#
ASH2L;ash2 (absent, small, or homeotic)-like (Drosophila);ASH2L_HUMAN;Pfam-B_11232 PB011232 499-622, Pfam-B_12412 PB012412 361-417, SPRY PF00622 418-497;Q91X20;ASH2L_MOUSE;Histone modification write cofactor;Histone methylation;COMPASS, Menin-associated_HMT, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7, COMPASS-like MLL3,4;histone;#;#
DR1;down-regulator of transcription 1, TBP-binding (negative cofactor 2);NC2B_HUMAN;CBFD_NFYB_HMF PF00808 11-75;Q91WV0;NC2B_MOUSE;Histone chaperone;#;ATAC;histone;#;#
TAF5L;TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa;TAF5L_HUMAN;TFIID_90kDa PF04494 55-196, WD40 PF00400 259-296 332-370 375-412 416-454 458-496 500-538;Q91WQ5;TAF5L_MOUSE;Histone modification write cofactor;Histone acetylation;PCAF, TFTC-HAT, STAGA;histone;#;#
PRKAG2;protein kinase, AMP-activated, gamma 2 non-catalytic subunit;AAKG2_HUMAN;CBS PF00571 350-410 428-484 494-556, Pfam-B_5182 PB005182 268-349;Q91WG5;AAKG2_MOUSE;Histone modification write cofactor;Histone phosphorylation;#;histone;#;#
ELP2;elongator acetyltransferase complex subunit 2;ELP2_HUMAN;WD40 PF00400 48-91 99-143 197-237 274-320 378-416 557-587 604-642 662-697;Q91WG4;ELP2_MOUSE;Histone modification write cofactor;Histone acetylation;Pol2 elongator;histone;#;#
SETD3;SET domain containing 3;SETD3_HUMAN;Rubis-subs-bind PF09273 343-475, SET PF00856 105-314;Q91WC0;SETD3_MOUSE;Histone modification write;Histone methylation;#;histone;H3K36;H3K36me
HDAC11;histone deacetylase 11;HDA11_HUMAN;Hist_deacetyl PF00850 23-320;Q91WA3;HDA11_MOUSE;Histone modification erase;Histone acetylation;#;histone;H2AKac, H2BKac, H3Kac, H4Kac;H2AK, H2BK, H3K, H4K
USP3;ubiquitin specific peptidase 3;UBP3_HUMAN;UCH PF00443 158-508, zf-UBP PF02148 29-107;Q91W36;UBP3_MOUSE;Histone modification write;Histone ubiquitination;#;histone;H2Aub, H2Bub;H2A, H2B
TDRD3;tudor domain containing 3;TDRD3_HUMAN;TUDOR PF00567 542-615, UBA PF00627 194-230;Q91W18;TDRD3_MOUSE;Histone modification read;#;#;histone;H3R17me2a, H4R3me2a;#
KDM4B;lysine (K)-specific demethylase 4B;KDM4B_HUMAN;JmjC PF02373 176-292, JmjN PF02375 16-50, PHD_2 PF13831 754-789, Pfam-B_12059 PB012059 1021-1094, zf-HC5HC2H_2 PF13832 795-906;Q91VY5;KDM4B_MOUSE;Histone modification erase;Histone methylation;#;histone;H3K9me3;H3K9me1, H3K9me2
SFPQ;splicing factor proline/glutamine-rich;SFPQ_HUMAN;NOPS PF08075 444-495, RRM_1 PF00076 299-363 373-440;Q8VIJ6;SFPQ_MOUSE;Chromatin remodeling cofactor, RNA modification, TF;TF repressor;#;DNA, RNA;#;#
REST;RE1-silencing transcription factor;REST_HUMAN;Pfam-B_2325 PB002325 821-909, Pfam-B_9727 PB009727 1001-1095, zf-C2H2_4 PF13894 216-238, zf-H2C2_2 PF13465 290-315 318-343 346-372;Q8VIG1;REST_MOUSE;Histone modification erase cofactor, TF;Histone acetylation, TF activator, TF repressor;#;DNA;DNA motif;#
TAF9;TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa;TAF9_HUMAN;TFIID-31kDa PF02291 2-130;Q8VI33;TAF9_MOUSE;Histone chaperone;#;PCAF, STAGA, CHD8, MLL2/3, MLL4/WBP7;DNA;#;#
SATB2;SATB homeobox 2;SATB2_HUMAN;CUT PF02376 352-437 474-560, Homeobox PF00046 615-672, Pfam-B_8103 PB008103 1-268;Q8VI24;SATB2_MOUSE;Chromatin remodeling cofactor;#;#;chromatin;#;#
GATAD2B;GATA zinc finger domain containing 2B;P66B_HUMAN;GATA PF00320 420-454;Q8VHR5;P66B_MOUSE;Histone modification read;#;NuRD;histone;H2A, H2B, H3, H4;#
SETD7;SET domain containing (lysine methyltransferase) 7;SETD7_HUMAN;MORN PF02493 13-35 36-58 60-81 106-128, SET PF00856 227-336;Q8VHL1;SETD7_MOUSE;Histone modification write;Histone methylation;#;histone;H3K4;H3K4me1
HDAC8;histone deacetylase 8;HDAC8_HUMAN;Hist_deacetyl PF00850 21-323, Pfam-B_15628 PB015628 324-375;Q8VH37;HDAC8_MOUSE;Histone modification erase;Histone acetylation;#;histone;H2AKac, H2BKac, H3Kac, H4Kac;H2AK, H2BK, H3K, H4K
ING3;inhibitor of growth family, member 3;ING3_HUMAN;ING PF12998 2-104, PHD PF00628 362-409;Q8VEK6;ING3_MOUSE;Chromatin remodeling, Histone modification write cofactor;Histone acetylation;SWR, NuA4, Piccolo_NuA4;histone;H2A, H4;#
TAF12;TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa;TAF12_HUMAN;Pfam-B_25018 PB025018 1-58, TFIID_20kDa PF03847 59-126;Q8VE65;TAF12_MOUSE;Histone chaperone, Histone modification write;Histone acetylation;PCAF, STAGA;histone;#;#
RCC1;regulator of chromosome condensation 1;RCC1_HUMAN;RCC1 PF00415 34-82 85-134 137-187 190-255 258-309 312-360 363-414;Q8VE37;RCC1_MOUSE;Chromatin remodeling;#;#;histone;H2A, H2B;#
CBX7;chromobox homolog 7;CBX7_HUMAN;Chromo PF00385 11-60;Q8VDS3;CBX7_MOUSE;Histone modification read;#;PRC1;histone;H3K9me3, H3K27me3;#
SIRT2;sirtuin 2;SIR2_HUMAN;SIR2 PF02146 84-268;Q8VDQ8;SIR2_MOUSE;Histone modification erase, Histone modification write cofactor;Histone acetylation, Histone methylation;#;histone;H3K18ac, H3K56ac, H4K16ac, H4K20me1;H3K18, H3K56, H4K16, H4K20me2, H4K20me3
ZGPAT;zinc finger, CCCH-type with G patch domain;ZGPAT_HUMAN;G-patch PF01585 333-376;Q8VDM1;ZGPAT_MOUSE;TF;TF repressor;#;DNA;DNA motif;#
UHRF1;ubiquitin-like with PHD and ring finger domains 1;UHRF1_HUMAN;DUF3590 PF12148 140-236, PHD PF00628 317-366, SAD_SRA PF02182 415-586, ubiquitin PF00240 6-76;Q8VDF2;UHRF1_MOUSE;Histone modification read, Histone modification write cofactor;Histone ubiquitination;#;histone, DNA;H3K9me3, H3R2, H3, mCG;H3ub
PHIP;pleckstrin homology domain interacting protein;PHIP_HUMAN;Bromodomain PF00439 1165-1251 1325-1409, Pfam-B_15784 PB015784 743-864, Pfam-B_60538 PB060538 1-77, WD40 PF00400 174-211 215-253 257-298 355-393 456-495;Q8VDD9;PHIP_MOUSE;Histone modification read;#;#;histone;H3;#
ZBTB7C;zinc finger and BTB domain containing 7C;ZBT7C_HUMAN;BTB PF00651 24-130, zf-H2C2_2 PF13465 379-403 406-431 434-459;Q8VCZ7;ZBT7C_MOUSE;Histone modification cofactor;#;#;histone;#;#
